event_id,event_family,reference_period,actual_release_at_utc,actual_initial,consensus_value,point_in_time_quality
ca849fb9a1d7845ca6e03a47,us_cpi,2012-09,2012-10-09T13:30:00Z,231.407,,missing
49d2a516ccb414c84de8acf9,us_cpi,2012-08,2012-09-08T13:30:00Z,230.379,,missing
87c793a10590f0e228f085a3,us_cpi,2012-07,2012-08-07T13:30:00Z,229.104,,missing
2ceea27cd4046c0eb62ff66d,us_cpi,2012-06,2012-07-06T13:30:00Z,229.478,,missing
dc89290ddc76fef139637f19,us_cpi,2012-05,2012-06-05T13:30:00Z,229.815,,missing
d317f7f00d80b1914210e6e2,us_cpi,2012-04,2012-05-04T13:30:00Z,230.085,,missing
e3afc00d46505177f9ad2bfe,us_cpi,2012-03,2012-04-03T13:30:00Z,229.392,,missing
07c070c54b7a2a9af36a69c6,us_cpi,2012-02,2012-03-02T13:30:00Z,227.663,,missing
24272d610481a4c1909a6dc0,us_cpi,2012-01,2012-02-01T13:30:00Z,226.665,,missing
3233983b2d3fbe6f9404f96e,us_cpi,2011-12,2012-01-12T13:30:00Z,225.672,,missing
de8dce66dc247d380090801c,us_cpi,2011-11,2011-12-11T13:30:00Z,226.23,,missing
1e5b54717978d10b3aefecae,us_cpi,2011-10,2011-11-10T13:30:00Z,226.421,,missing
f8b4059dace8e8e651b35c3b,us_cpi,2011-09,2011-10-09T13:30:00Z,226.889,,missing
03f9c694122485e28cb9aa44,us_cpi,2011-08,2011-09-08T13:30:00Z,226.545,,missing
ea11ec456c0f9d7e60440011,us_cpi,2011-07,2011-08-07T13:30:00Z,225.922,,missing
f23918f20f8b3553208698d4,us_cpi,2011-06,2011-07-06T13:30:00Z,225.722,,missing
a493e822fa5bd40354739ce2,us_cpi,2011-05,2011-06-05T13:30:00Z,225.964,,missing
fcdeb3f2102b6d6559ca9b70,us_cpi,2011-04,2011-05-04T13:30:00Z,224.906,,missing
71ad4a83502e63697bf44138,us_cpi,2011-03,2011-04-03T13:30:00Z,223.467,,missing
5236967f1e6b17772eaf09b1,us_cpi,2011-02,2011-03-02T13:30:00Z,221.309,,missing
11d13dfd3966759ca571f8d8,us_cpi,2011-01,2011-02-01T13:30:00Z,220.223,,missing
ddad45d9f7d41120e44be0f6,us_cpi,2010-12,2011-01-12T13:30:00Z,219.179,,missing
ee9f38983d30c2db3bb4361a,us_cpi,2010-11,2010-12-11T13:30:00Z,218.803,,missing
c9af7b0ac200a75c7ca1c56f,us_cpi,2010-10,2010-11-10T13:30:00Z,218.711,,missing
a7f5923f60ca1764d8bed105,us_cpi,2010-09,2010-10-09T13:30:00Z,218.439,,missing
394c52e42317246ccc2c5207,us_cpi,2010-08,2010-09-08T13:30:00Z,218.312,,missing
f3f4669543e7ebac67970396,us_cpi,2010-07,2010-08-07T13:30:00Z,218.011,,missing
14042e7d29ba3f6493174d71,us_cpi,2010-06,2010-07-06T13:30:00Z,217.965,,missing
970ba743b903d0957edc9b46,us_cpi,2010-05,2010-06-05T13:30:00Z,218.178,,missing
15d979c36ed3319e341d0854,us_cpi,2010-04,2010-05-04T13:30:00Z,218.009,,missing
d99fb3286c1594c7b234edbc,us_cpi,2010-03,2010-04-03T13:30:00Z,217.631,,missing
c2901208465c84886ec1629f,us_cpi,2010-02,2010-03-02T13:30:00Z,216.741,,missing
5992b4721a3f12ab8694991c,us_cpi,2010-01,2010-02-01T13:30:00Z,216.687,,missing
ff4241e2c99b3e9cb6efe37f,us_core_cpi,2019-12,2020-01-12T13:30:00Z,264.935,,missing
2e58c15d94ec0c48bbe3712d,us_core_cpi,2019-11,2019-12-11T13:30:00Z,265.108,,missing
dde15ffbc9b5058ce67adff5,us_core_cpi,2019-10,2019-11-10T13:30:00Z,265.059,,missing
5628c8d850fedabdfdd3b90b,us_core_cpi,2019-09,2019-10-09T13:30:00Z,264.522,,missing
241b44401f8990a41f159df9,us_core_cpi,2019-08,2019-09-08T13:30:00Z,264.169,,missing
043f5e4d1005d739bd8f246a,us_core_cpi,2019-07,2019-08-07T13:30:00Z,263.566,,missing
e2e1fc60817b64c63b1c88a1,us_core_cpi,2019-06,2019-07-06T13:30:00Z,263.177,,missing
d75cdb7d21323a85ce165cbb,us_core_cpi,2019-05,2019-06-05T13:30:00Z,262.59,,missing
1469c2a9ff2f49d86bbc745e,us_core_cpi,2019-04,2019-05-04T13:30:00Z,262.332,,missing
715fefa2effc88d6ffa6c434,us_core_cpi,2019-03,2019-04-03T13:30:00Z,261.836,,missing
041c966c99fcc39604f89ed9,us_core_cpi,2019-02,2019-03-02T13:30:00Z,261.114,,missing
1fe2fd49826ab84244467600,us_core_cpi,2019-01,2019-02-01T13:30:00Z,260.122,,missing
6aa700c8772c415027b7b1d0,us_core_cpi,2018-12,2019-01-12T13:30:00Z,259.083,,missing
d93bd2877b81d7c8d5e52caf,us_core_cpi,2018-11,2018-12-11T13:30:00Z,259.105,,missing
47f339b07dd43952f86f40dd,us_core_cpi,2018-10,2018-11-10T13:30:00Z,259.063,,missing
522cba0808c8ef0ade117994,us_core_cpi,2018-09,2018-10-09T13:30:00Z,258.429,,missing
96da451c40d954385306fab7,us_core_cpi,2018-08,2018-09-08T13:30:00Z,258.012,,missing
8f38c1f372cf19bcfb15047f,us_core_cpi,2018-07,2018-08-07T13:30:00Z,257.867,,missing
69497f9638415f85abc7d27b,us_core_cpi,2018-06,2018-07-06T13:30:00Z,257.697,,missing
a51d55172ccdee398517b6a9,us_core_cpi,2018-05,2018-06-05T13:30:00Z,257.469,,missing
29869e443270463c1907ca2d,us_core_cpi,2018-04,2018-05-04T13:30:00Z,257.025,,missing
9e0d8c9b5241554b2597842c,us_core_cpi,2018-03,2018-04-03T13:30:00Z,256.61,,missing
7629842164b39faf47be60f0,us_core_cpi,2018-02,2018-03-02T13:30:00Z,255.783,,missing
33595e1d8e0ae216c8c472a5,us_core_cpi,2018-01,2018-02-01T13:30:00Z,254.638,,missing
4edd48792af4ee7226723c5f,us_core_cpi,2017-12,2018-01-12T13:30:00Z,253.558,,missing
fd2078595fb237a87e7ded44,us_core_cpi,2017-11,2017-12-11T13:30:00Z,253.492,,missing
fbde06d25decc0c7d9c6497c,us_core_cpi,2017-10,2017-11-10T13:30:00Z,253.638,,missing
b2742c5ef46e1b2470666443,us_core_cpi,2017-09,2017-10-09T13:30:00Z,252.941,,missing
e94fbc17919205620d8e8e92,us_core_cpi,2017-08,2017-09-08T13:30:00Z,252.46,,missing
61d08fabc3851e558787fcb4,us_core_cpi,2017-07,2017-08-07T13:30:00Z,251.936,,missing
1bc5a84c5350a2a7bbbe27d4,us_core_cpi,2017-06,2017-07-06T13:30:00Z,252.014,,missing
66795caed4090f24374b1bcf,us_core_cpi,2017-05,2017-06-05T13:30:00Z,251.835,,missing
1889d6ea204bb4f016f30ae3,us_core_cpi,2017-04,2017-05-04T13:30:00Z,251.642,,missing
82207d30d00a434be77384b6,us_core_cpi,2017-03,2017-04-03T13:30:00Z,251.29,,missing
28a40cc84d2ae5d91a63190d,us_core_cpi,2017-02,2017-03-02T13:30:00Z,251.143,,missing
6a075c8a715159f3b814666b,us_core_cpi,2017-01,2017-02-01T13:30:00Z,250.083,,missing
24159eceb3f7dbea3aa3b03f,us_core_cpi,2016-12,2017-01-12T13:30:00Z,249.134,,missing
fb6c34b9823330434e074ba4,us_core_cpi,2016-11,2016-12-11T13:30:00Z,249.227,,missing
