event_id,event_time,title,asset_symbol,event_type,status,parsed_event_time_utc,time_quality_status,quality_status,quality_flags,skip_reason
cand_00020,2026-05-25T09:44:51Z,ETH反弹逼空某巨鲸1.01亿美元空单，距爆仓不足30美元,ETH,macro,skipped,2026-05-25T09:44:51Z,pass,fail,"status_skipped,missing_asset_price_1h,missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_1h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h",asset has no computable return
cand_00022,2026-05-25T09:41:22Z,Bitcoin Price Prediction: BTC Tests Crucial Weekly Support,BTC,macro,skipped,2026-05-25T09:41:22Z,pass,fail,"status_skipped,missing_asset_price_1h,missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_1h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h",asset has no computable return
cand_00033,2026-05-25T09:20:32Z,Can XRP price hold $1.35 as Binance liquidity falls to 2020 lows?,XRP,macro,partial,2026-05-25T09:20:32Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00034,2026-05-25T09:19:50Z,「今日BTC最大建仓」由3690万多单领衔，该巨鲸止损价设于7.38万美元,BTC,macro,partial,2026-05-25T09:19:50Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00036,2026-05-25T09:16:57Z,"Bitcoin price prediction: BTC faces critical resistance at $78,000 as ETF outflows mount - CoinJournal",BTC,macro,partial,2026-05-25T09:16:57Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00044,2026-05-25T09:05:15Z,Satoshi-Era Bitcoin Whale Exits 30% of Holdings for $203 Million as 'Bull Trap' Risks Arise - U.Today,BTC,macro,partial,2026-05-25T09:05:15Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00050,2026-05-25T08:52:40Z,【Matrixport关联地址（子地址 1）】ETH 多单 浮亏收窄！,ETH,macro,partial,2026-05-25T08:52:40Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00056,2026-05-25T08:33:12Z,Tether targets Georgia with lari-backed stablecoin launch,BTC,macro,partial,2026-05-25T08:33:12Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00063,2026-05-25T08:09:38Z,Strategy buys bonds instead of Bitcoin this week,BTC,macro,partial,2026-05-25T08:09:38Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00065,2026-05-25T08:07:48Z,Bitcoin sell signal? Binance inflows jump 3x in just 10 days,BTC,macro,partial,2026-05-25T08:07:48Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00070,2026-05-25T08:00:00Z,NYT Report Alleges CFTC Helped Trump-Connected Crypto Firms,BTC,macro,partial,2026-05-25T08:00:00Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00077,2026-05-25T07:18:45Z,【麻吉黄立成】ETH 多单 滚仓 啦!,ETH,macro,partial,2026-05-25T07:18:45Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00091,2026-05-25T06:38:42Z,【Abraxas Capital主地址】BTC 多单 摊平 啦!,BTC,macro,partial,2026-05-25T06:38:42Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00098,2026-05-25T06:18:45Z,【Abraxas Capital主地址】ETH 空单 止盈 啦!,ETH,macro,partial,2026-05-25T06:18:45Z,pass,warning,"missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_24h, asset_price_72h, btc_price_24h, btc_price_72h, eth_price_24h, eth_price_72h"
cand_00103,2026-05-25T05:56:43Z,Bitcoin options are coming to Nadaq. Here's what it means for you.,BTC,macro,partial,2026-05-25T05:56:43Z,pass,warning,"missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_24h, asset_price_72h, btc_price_24h, btc_price_72h, eth_price_24h, eth_price_72h"
cand_00110,2026-05-25T05:25:55Z,Kalshi backs prediction markets lobby group with former Trump official,LINK,macro,partial,2026-05-25T05:25:55Z,pass,warning,"missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_24h, asset_price_72h, btc_price_24h, btc_price_72h, eth_price_24h, eth_price_72h"
