position_key,updated_at_utc,updated_at_china,address,entity,asset_symbol,side,szi_abs,position_value_usd,entry_px,liquidation_px,mark_px,liquidation_distance_pct,near_liquidation,unrealized_pnl,return_on_equity,above_threshold
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-05-28T09:24:53Z,2026-05-28 17:24:53 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,78529947.52,38.6755,49.0716440006,56.90400000,0.137642,false,25156017.4778920002,2.3565828351,true
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-05-28T09:24:53Z,2026-05-28 17:24:53 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,115.2829,8458536.94,72930.1,103016.5697363894,73372.00000000,0.404031,false,-50934.10716,-0.1211620201,false
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T09:29:53Z,2026-05-28 17:29:53 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,34956576.61,76687.8,62126.1456422692,73376.00000000,0.153318,false,-1577762.25994,-0.2159286727,true
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-05-28T09:29:53Z,2026-05-28 17:29:53 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,79596000.00,2265.44,1355.8797701431,1989.90000000,0.318619,false,-11021764.9732089993,-2.4325837161,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC,2026-05-28T09:29:53Z,2026-05-28 17:29:53 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,BTC,short,468.43504,34371889.50,75280.1,212024.6588604315,73376.00000000,1.889564,false,891956.90951,0.2529380656,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-05-28T09:29:53Z,2026-05-28 17:29:53 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,short,3749.3,6800.86,1.7575,15982.8330580511,1.81390000,8810.308814,false,-211.46052,-0.160455192,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-05-28T09:29:53Z,2026-05-28 17:29:53 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,short,1807855.3,103114642.75,45.3701,90.104680042,57.03700000,0.579758,false,-21091972.2008900009,-1.2857403972,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-28T09:29:53Z,2026-05-28 17:29:53 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,730717.06,18.9744,1196.2810026403,15.31000000,77.137231,false,174899.27644,0.579382029,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-28T09:29:53Z,2026-05-28 17:29:53 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,715813.92,1.195291,95.2236507015,1.12670000,83.515533,false,43577.5489,0.1721544849,false
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-05-28T09:29:53Z,2026-05-28 17:29:53 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,78713493.20,38.6755,49.0716440006,57.03700000,0.139652,false,25339563.1516719982,2.3737771539,true
