event_id,asset,event_start_time,event_end_time,signal_ids,signal_count,first_hand_count,overall_strength,overall_confidence,novelty_score,event_type,urgency,card_type,sent_to_telegram,title,summary,observation_points,created_at
8101a8b2c3d4,ETH,2026-05-29 04:30:00,2026-05-29 05:00:00,market_ETH_open_interest_af84ef2f72434615,1,0,8.7,0.6,0.2,market_state_change,review,review_only,,ETH open_interest 24h变化 -1.74%,ETH 在 04:30-05:00 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：open_interest,是否出现成交量放大或持仓量快速回落,2026-05-29 14:29:04 UTC+8
6c17dc1d11cd,HYPE,2026-05-28 11:00:00,2026-05-28 11:30:00,news_tg_watcher_0004;news_tg_watcher_0005;news_tg_watcher_0004;news_tg_watcher_0005,4,4,100,0.6,1.0,news_context,high,intraday_radar,,【巨鲸仓位】HYPE Hyperliquid 空头仓位：1.03 亿美元 | 【巨鲸仓位】HYPE Hyperliquid 多头仓位：7836.71 万美元,HYPE 在 11:00-11:30 UTC 内 共收到 4 条信号（一手 4 条），涉及类型：news_flash,是否有新的信息源交叉验证,2026-05-29 14:29:04 UTC+8
34ec693678ae,HYPE,2026-05-29 04:30:00,2026-05-29 05:00:00,market_HYPE_price_d914e34d5e5d4a5b;market_HYPE_volume_5220b2f42cdc41d1,2,0,68.8,0.6,0.2,market_state_change,medium,review_only,,HYPE price 24h变化 +7.54% | HYPE volume 24h变化 +1491420234.04%,"HYPE 在 04:30-05:00 UTC 内 共收到 2 条信号（一手 0 条），涉及类型：price, volume",价格是否持续朝同一方向运动,2026-05-29 14:29:04 UTC+8
5617f2023171,HYPE,2026-05-29 04:00:00,2026-05-29 04:30:00,hl_pos_0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE;hl_pos_0x082e843a431aef031264dc232693dd710aedca88:HYPE,2,2,40.0,0.85,0.8,monitored_liquidation_risk,medium,evening_digest,,"监控地址清算风险 | loraclexyz HYPE short 仓位 106,131,021USD 距清算49.8% | 监控地址清算风险 | Unknown HYPE Whale HYPE long 仓位 84,299,906USD 距清算19.6%",HYPE 在 04:00-04:30 UTC 内 共收到 2 条信号（一手 2 条），涉及类型：monitored_liquidation_risk,是否继续接近监控地址清算风险区,2026-05-29 14:29:04 UTC+8
1560db9be9a9,HYPE,2026-05-28 11:00:00,2026-05-28 11:30:00,watcher_watcher_fh_dfd0158b68a27d1a;watcher_watcher_fh_aa864d8c8c70ed6c,2,2,34.5,0.0,0.8,asset_multi_signal,medium,evening_digest,,loraclexyz holds large Hyperliquid short position: $102.66M HYPE | Unknown HYPE Whale holds large Hyperliquid long position: $78.37M HYPE,HYPE 在 11:00-11:30 UTC 内 共收到 2 条信号（一手 2 条），涉及类型：hyperliquid_perp_position_snapshot,需要继续确认,2026-05-29 14:29:04 UTC+8
815fc8f04acd,HYPE,2026-05-29 04:30:00,2026-05-29 05:00:00,market_HYPE_open_interest_7ed52fff3c8a4301,1,0,11.7,0.6,0.2,market_state_change,review,review_only,,HYPE open_interest 24h变化 +2.34%,HYPE 在 04:30-05:00 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：open_interest,是否出现成交量放大或持仓量快速回落,2026-05-29 14:29:04 UTC+8
ae666d9c035d,SOL,2026-05-29 04:30:00,2026-05-29 05:00:00,market_SOL_price_54b96b13d50f46fe;market_SOL_volume_d8b325c5285c4c6b,2,0,53.8,0.6,0.2,market_state_change,medium,review_only,,SOL price 24h变化 +1.52% | SOL volume 24h变化 +1354837824.17%,"SOL 在 04:30-05:00 UTC 内 共收到 2 条信号（一手 0 条），涉及类型：price, volume",价格是否持续朝同一方向运动,2026-05-29 14:29:04 UTC+8
182a3ebd94a8,SOL,2026-05-29 06:00:00,2026-05-29 06:30:00,pctl_digest_context_SOL_percentile_context_315e4e86197740dc,1,0,30.0,0.5,0.2,market_state_change,review,review_only,,SOL percentile_context 分位 35.6% | 快速下降，市场降温,SOL 在 06:00-06:30 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：market_state,需要继续确认,2026-05-29 14:29:04 UTC+8
98f37dd8787f,SOL,2026-05-29 04:30:00,2026-05-29 05:00:00,market_SOL_open_interest_74e5b44fbcdc4b24,1,0,3.6,0.6,0.2,market_state_change,review,review_only,,SOL open_interest 24h变化 -0.73%,SOL 在 04:30-05:00 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：open_interest,是否出现成交量放大或持仓量快速回落,2026-05-29 14:29:04 UTC+8
11bb688724be,BNB,2026-05-29 04:30:00,2026-05-29 05:00:00,market_BNB_volume_145beff12568489b,1,0,100,0.6,0.2,market_state_change,medium,review_only,,BNB volume 24h变化 +296589347.44%,BNB 在 04:30-05:00 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：volume,需要继续确认,2026-05-29 14:29:04 UTC+8
c82623a000b5,BNB,2026-05-29 06:00:00,2026-05-29 06:30:00,pctl_watchlist_alerts_BNB_funding_price_confirmation_59eab8cc2c594825,1,0,90.7,0.5,0.2,market_state_change,medium,review_only,,BNB funding_price_confirmation 分位 90.7% | 多头持仓成本偏高，需结合价格变化确认,BNB 在 06:00-06:30 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：funding,是否出现成交量放大或持仓量快速回落,2026-05-29 14:29:04 UTC+8
5109a9e28b1e,BNB,2026-05-29 06:00:00,2026-05-29 06:30:00,pctl_digest_context_BNB_percentile_context_c3c7b1bca9a64f3f,1,0,90.7,0.5,0.2,market_state_change,medium,review_only,,BNB percentile_context 分位 90.7% | 分位偏离，进入早晚报观察,BNB 在 06:00-06:30 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：market_state,需要继续确认,2026-05-29 14:29:04 UTC+8
e4edae3133d3,BNB,2026-05-29 04:30:00,2026-05-29 05:00:00,market_BNB_open_interest_2d162bfeff934554,1,0,4.9,0.6,0.2,market_state_change,review,review_only,,BNB open_interest 24h变化 -0.99%,BNB 在 04:30-05:00 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：open_interest,是否出现成交量放大或持仓量快速回落,2026-05-29 14:29:04 UTC+8
fcb81d5cbff6,CTR,2026-05-28 00:00:00,2026-05-28 00:30:00,news_tg_watcher_0006;news_tg_watcher_0006,2,2,100,0.85,0.8,news_context,medium,review_only,,【交易所上新】Binance 发布 CTR 相关上新公告,CTR 在 00:00-00:30 UTC 内 共收到 2 条信号（一手 2 条），涉及类型：news_flash,是否有新的信息源交叉验证,2026-05-29 14:29:04 UTC+8
215b5d4a5d2f,HOME,2026-05-28 11:00:00,2026-05-28 11:30:00,news_tg_watcher_0008;news_tg_watcher_0008,2,2,95.0,0.6,0.8,news_context,medium,review_only,,【代币解锁】HOME 即将发生计划解锁,HOME 在 11:00-11:30 UTC 内 共收到 2 条信号（一手 2 条），涉及类型：news_flash,是否有新的信息源交叉验证,2026-05-29 14:29:04 UTC+8
15ab41247596,DOGE,2026-05-29 06:00:00,2026-05-29 06:30:00,pctl_watchlist_alerts_DOGE_funding_price_confirmation_460491c06d564ec6,1,0,92.6,0.5,0.2,market_state_change,medium,review_only,,DOGE funding_price_confirmation 分位 92.6% | 多头持仓成本偏高，需结合价格变化确认,DOGE 在 06:00-06:30 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：funding,是否出现成交量放大或持仓量快速回落,2026-05-29 14:29:04 UTC+8
